no,sub,story,cond,res,res_corrected,scenes_xx,scenes_xz,scenes_final,group,segment_num,condition,no_char,flag
0,0522-1,3,1_r0,"Segment one is Jiyoon preparing for her first department meeting, setting out the year with bold intensions ","Jiyoon preparing for her first department meeting, setting out the year with bold intensions ",1,103,1,retrodiction,1,r0,,
1,0522-1,3,1_r,"Jiyoon starts the all faculty meeting as the new chair of the english department  --- Bill is not attending the meeting becuase he is with his daughter doodles, grieving his wifes passing. ","Jiyoon starts the all faculty meeting as the new chair of the english department  --- Bill is not attending the meeting becuase he is with his daughter doodles, grieving his wifes passing. ",103 131 0,67 101 103 131 108 69,101 103 131 109,retrodiction,1,r,,
2,0522-3,3,1_r0,,,151 0,151,151 0,retrodiction,1,r0,,
3,0522-3,3,1_r,,,132 112 1 109,103 110 112 108 69 109,103 112 1 109,retrodiction,1,r,,
4,0523-2,3,1_r0,"Joan:

Joan goes to her old office to find that all her stuff has been moved and there is a note on the desk. ",Joan goes to her old office to find that all her stuff has been moved and there is a note on the desk. ,151,151 0,151,retrodiction,1,r0,,
5,0523-2,3,1_r,Jiyoon discusses the future of the department with all the faculty. --- Bill stays up late talking to his daughter doodles.,Jiyoon discusses the future of the department with all the faculty. --- Bill stays up late talking to his daughter doodles.,112 0,103 112 0,103 112,retrodiction,1,r,,
6,0523-4,3,1_r0,"Jiyoon and all faculty have a meeting. Bill is nowhere to be found, even though he is supposed to be at the meeting. Joan finds that her office has been moved to the gym.","Jiyoon and all faculty have a meeting. Bill is nowhere to be found, even though he is supposed to be at the meeting. Joan finds that her office has been moved to the gym.",132 131 151,103 131 151,132 131 151,retrodiction,1,r0,,
7,0523-4,3,1_r,"Jiyoon and all faculty have a meeting. Bill is nowhere to be found, even though he is supposed to be at the meeting. --- Bill spends time with Doodles at home, even though he is supposed to be at the meeting.","Jiyoon and all faculty have a meeting. Bill is nowhere to be found, even though he is supposed to be at the meeting. --- Bill spends time with Doodles at home, even though he is supposed to be at the meeting.",132 131 1,103 131 0,132 131 1,retrodiction,1,r,,
8,0524-1,3,1_r0,Joan goes to her office only to have a note that they moved all her stuff to the basement of the athletic facility.,Joan goes to her office only to have a note that they moved all her stuff to the basement of the athletic facility.,151,151,151,retrodiction,1,r0,,
9,0524-1,3,1_r,Jiyoon is leading the faculty meeting. --- Bill and Doodles have a meal and grieve.,Jiyoon is leading the faculty meeting. --- Bill and Doodles have a meal and grieve.,103 1,103 0,103 1,retrodiction,1,r,,
